,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code,Ozon
133,Feb 2021,25.0,18.0,27.0,6.0,36.0,mc171,
134,Mär 2021,21.0,14.0,23.0,8.0,34.0,mc171,
135,Apr 2021,17.0,10.0,12.0,2.0,15.0,mc171,
136,Mai 2021,12.0,8.0,11.0,1.0,13.0,mc171,
137,Jun 2021,22.0,12.0,12.0,1.0,13.0,mc171,
138,Jul 2021,,,,,,mc171,
139,Aug 2021,13.0,8.0,13.0,2.0,16.0,mc171,
140,Sep 2021,22.0,13.0,18.0,3.0,23.0,mc171,
141,Okt 2021,,,21.0,4.0,27.0,mc171,
142,Nov 2021,22.0,16.0,21.0,5.0,29.0,mc171,
143,Dez 2021,21.0,17.0,22.0,5.0,29.0,mc171,
144,Jan 2022,18.0,13.0,16.0,2.0,19.0,mc171,
145,Feb 2022,13.0,9.0,14.0,2.0,16.0,mc171,
146,Mär 2022,29.0,19.0,21.0,4.0,26.0,mc171,
147,Apr 2022,16.0,10.0,12.0,2.0,14.0,mc171,
148,Mai 2022,18.0,9.0,13.0,2.0,15.0,mc171,
149,Jun 2022,17.0,9.0,13.0,2.0,15.0,mc171,
150,Jul 2022,16.0,7.0,11.0,2.0,13.0,mc171,
151,Aug 2022,20.0,10.0,13.0,2.0,14.0,mc171,
152,Sep 2022,15.0,9.0,16.0,3.0,20.0,mc171,
153,Okt 2022,20.0,13.0,22.0,7.0,33.0,mc171,
154,Nov 2022,26.0,19.0,21.0,6.0,30.0,mc171,
0,Jan 2010,64.0,,44.0,38.0,101.0,mc174,
1,Feb 2010,46.0,,46.0,30.0,91.0,mc174,
2,Mär 2010,39.0,,47.0,32.0,95.0,mc174,
3,Apr 2010,34.0,,42.0,24.0,78.0,mc174,
4,Mai 2010,25.0,,33.0,19.0,61.0,mc174,
5,Jun 2010,26.0,,33.0,15.0,57.0,mc174,
6,Jul 2010,30.0,,40.0,16.0,65.0,mc174,
7,Aug 2010,25.0,,41.0,23.0,76.0,mc174,
8,Sep 2010,25.0,,44.0,32.0,93.0,mc174,
9,Okt 2010,36.0,,53.0,53.0,134.0,mc174,
10,Nov 2010,24.0,,39.0,33.0,89.0,mc174,
11,Dez 2010,37.0,,47.0,41.0,109.0,mc174,
12,Jan 2011,28.0,,49.0,39.0,108.0,mc174,
13,Feb 2011,48.0,,42.0,28.0,86.0,mc174,
14,Mär 2011,42.0,,50.0,30.0,97.0,mc174,
15,Apr 2011,30.0,,41.0,20.0,72.0,mc174,
16,Mai 2011,26.0,,45.0,20.0,76.0,mc174,
17,Jun 2011,19.0,,34.0,16.0,58.0,mc174,
18,Jul 2011,16.0,,33.0,18.0,60.0,mc174,
19,Aug 2011,22.0,,41.0,22.0,75.0,mc174,
20,Sep 2011,27.0,,50.0,42.0,114.0,mc174,
21,Okt 2011,30.0,,48.0,45.0,116.0,mc174,
22,Nov 2011,54.0,,52.0,47.0,124.0,mc174,
23,Dez 2011,16.0,,36.0,25.0,74.0,mc174,
24,Jan 2012,26.0,,41.0,31.0,89.0,mc174,
25,Feb 2012,31.0,,43.0,28.0,85.0,mc174,
26,Mär 2012,35.0,,44.0,32.0,92.0,mc174,
27,Apr 2012,26.0,,43.0,23.0,77.0,mc174,
28,Mai 2012,24.0,,36.0,17.0,63.0,mc174,
29,Jun 2012,21.0,,40.0,20.0,71.0,mc174,
30,Jul 2012,22.0,,37.0,18.0,65.0,mc174,
31,Aug 2012,26.0,,42.0,21.0,75.0,mc174,
32,Sep 2012,24.0,,48.0,32.0,96.0,mc174,
33,Okt 2012,27.0,,47.0,47.0,118.0,mc174,
34,Nov 2012,31.0,,44.0,48.0,118.0,mc174,
35,Dez 2012,33.0,,45.0,45.0,114.0,mc174,
36,Jan 2013,34.0,,38.0,30.0,84.0,mc174,
37,Feb 2013,36.0,,38.0,24.0,74.0,mc174,
38,Mär 2013,36.0,,41.0,22.0,76.0,mc174,
39,Apr 2013,36.0,,43.0,23.0,78.0,mc174,
40,Mai 2013,26.0,,38.0,18.0,66.0,mc174,
41,Jun 2013,21.0,,30.0,14.0,50.0,mc174,
42,Jul 2013,23.0,,35.0,16.0,59.0,mc174,
43,Aug 2013,26.0,,45.0,23.0,81.0,mc174,
44,Sep 2013,21.0,,44.0,38.0,102.0,mc174,
45,Okt 2013,28.0,,46.0,43.0,112.0,mc174,
46,Nov 2013,23.0,,44.0,39.0,103.0,mc174,
47,Dez 2013,24.0,,43.0,42.0,108.0,mc174,
48,Jan 2014,43.0,,42.0,36.0,97.0,mc174,
49,Feb 2014,36.0,,49.0,36.0,104.0,mc174,
50,Mär 2014,45.0,,50.0,36.0,105.0,mc174,
51,Apr 2014,28.0,,38.0,20.0,68.0,mc174,
52,Mai 2014,20.0,,37.0,19.0,66.0,mc174,
53,Jun 2014,21.0,,37.0,21.0,69.0,mc174,
54,Jul 2014,28.0,,38.0,16.0,62.0,mc174,
55,Aug 2014,23.0,,45.0,26.0,85.0,mc174,
56,Sep 2014,33.0,,44.0,32.0,93.0,mc174,
57,Okt 2014,35.0,,44.0,48.0,118.0,mc174,
58,Nov 2014,42.0,,38.0,46.0,108.0,mc174,
59,Dez 2014,30.0,,39.0,35.0,92.0,mc174,
60,Jan 2015,31.0,,38.0,29.0,83.0,mc174,
61,Feb 2015,39.0,,46.0,36.0,101.0,mc174,
62,Mär 2015,34.0,,45.0,30.0,91.0,mc174,
63,Apr 2015,24.0,,39.0,23.0,75.0,mc174,
64,Mai 2015,24.0,,39.0,20.0,69.0,mc174,
65,Jun 2015,21.0,,38.0,20.0,68.0,mc174,
66,Jul 2015,24.0,,40.0,20.0,70.0,mc174,
67,Aug 2015,31.0,,38.0,15.0,61.0,mc174,
68,Sep 2015,21.0,,40.0,25.0,78.0,mc174,
69,Okt 2015,42.0,,46.0,46.0,116.0,mc174,
70,Nov 2015,29.0,,46.0,57.0,133.0,mc174,
71,Dez 2015,26.0,,39.0,35.0,92.0,mc174,
72,Jan 2016,45.0,,42.0,40.0,103.0,mc174,
73,Feb 2016,28.0,,40.0,30.0,86.0,mc174,
74,Mär 2016,31.0,,42.0,31.0,90.0,mc174,
75,Apr 2016,26.0,,44.0,28.0,87.0,mc174,
76,Mai 2016,26.0,,39.0,17.0,65.0,mc174,
77,Jun 2016,23.0,,38.0,18.0,66.0,mc174,
78,Jul 2016,20.0,,35.0,17.0,61.0,mc174,
79,Aug 2016,20.0,,39.0,23.0,74.0,mc174,
80,Sep 2016,32.0,,48.0,23.0,83.0,mc174,
81,Okt 2016,27.0,,34.0,36.0,89.0,mc174,
82,Nov 2016,27.0,,44.0,51.0,122.0,mc174,
83,Dez 2016,28.0,,47.0,49.0,122.0,mc174,
84,Jan 2017,38.0,28.0,48.0,42.0,112.0,mc174,
85,Feb 2017,50.0,36.0,45.0,40.0,106.0,mc174,
86,Mär 2017,30.0,17.0,48.0,32.0,98.0,mc174,
87,Apr 2017,23.0,15.0,38.0,21.0,70.0,mc174,
88,Mai 2017,25.0,15.0,37.0,18.0,65.0,mc174,
89,Jun 2017,21.0,11.0,40.0,23.0,75.0,mc174,
90,Jul 2017,22.0,12.0,36.0,20.0,68.0,mc174,
91,Aug 2017,23.0,12.0,42.0,23.0,76.0,mc174,
92,Sep 2017,26.0,16.0,39.0,28.0,82.0,mc174,
93,Okt 2017,27.0,16.0,41.0,37.0,97.0,mc174,
94,Nov 2017,26.0,18.0,42.0,36.0,96.0,mc174,
95,Dez 2017,22.0,15.0,40.0,35.0,93.0,mc174,
96,Jan 2018,25.0,19.0,39.0,32.0,87.0,mc174,
97,Feb 2018,37.0,25.0,40.0,28.0,83.0,mc174,
98,Mär 2018,36.0,26.0,42.0,27.0,83.0,mc174,
99,Apr 2018,30.0,19.0,41.0,19.0,70.0,mc174,
100,Mai 2018,26.0,13.0,29.0,10.0,43.0,mc174,
101,Jun 2018,22.0,13.0,33.0,14.0,55.0,mc174,
102,Jul 2018,20.0,10.0,28.0,10.0,44.0,mc174,
103,Aug 2018,23.0,10.0,38.0,17.0,64.0,mc174,
104,Sep 2018,26.0,12.0,41.0,21.0,72.0,mc174,
105,Okt 2018,31.0,18.0,46.0,34.0,99.0,mc174,
106,Nov 2018,35.0,26.0,39.0,42.0,103.0,mc174,
107,Dez 2018,21.0,16.0,34.0,30.0,80.0,mc174,
108,Jan 2019,26.0,19.0,37.0,28.0,79.0,mc174,28.0
109,Feb 2019,35.0,24.0,50.0,47.0,122.0,mc174,21.0
110,Mär 2019,20.0,13.0,35.0,21.0,66.0,mc174,44.0
111,Apr 2019,29.0,17.0,27.0,10.0,42.0,mc174,72.0
112,Mai 2019,19.0,11.0,29.0,14.0,50.0,mc174,59.0
113,Jun 2019,23.0,11.0,33.0,11.0,51.0,mc174,76.0
114,Jul 2019,19.0,10.0,28.0,13.0,48.0,mc174,56.0
115,Aug 2019,21.0,11.0,39.0,17.0,66.0,mc174,55.0
116,Sep 2019,21.0,11.0,36.0,23.0,71.0,mc174,37.0
117,Okt 2019,22.0,14.0,37.0,32.0,86.0,mc174,22.0
118,Nov 2019,29.0,21.0,34.0,35.0,88.0,mc174,10.0
119,Dez 2019,25.0,16.0,38.0,32.0,87.0,mc174,20.0
120,Jan 2020,26.0,17.0,37.0,28.0,80.0,mc174,24.0
121,Feb 2020,16.0,10.0,32.0,22.0,65.0,mc174,40.0
122,Mär 2020,23.0,15.0,32.0,18.0,59.0,mc174,47.0
123,Apr 2020,25.0,12.0,28.0,11.0,44.0,mc174,65.0
124,Mai 2020,16.0,9.0,23.0,9.0,37.0,mc174,62.0
125,Jun 2020,19.0,10.0,19.0,7.0,29.0,mc174,66.0
126,Jul 2020,18.0,9.0,24.0,12.0,42.0,mc174,50.0
127,Aug 2020,26.0,11.0,26.0,8.0,38.0,mc174,63.0
128,Sep 2020,25.0,12.0,35.0,16.0,59.0,mc174,39.0
129,Okt 2020,20.0,12.0,28.0,19.0,57.0,mc174,25.0
130,Nov 2020,24.0,17.0,30.0,23.0,64.0,mc174,18.0
131,Dez 2020,30.0,23.0,27.0,25.0,65.0,mc174,14.0
132,Jan 2021,21.0,16.0,27.0,15.0,50.0,mc174,25.0
133,Feb 2021,34.0,21.0,36.0,25.0,75.0,mc174,30.0
134,Mär 2021,29.0,18.0,35.0,25.0,73.0,mc174,41.0
135,Apr 2021,20.0,12.0,23.0,9.0,37.0,mc174,61.0
136,Mai 2021,15.0,9.0,22.0,9.0,35.0,mc174,59.0
137,Jun 2021,23.0,12.0,24.0,7.0,35.0,mc174,73.0
138,Jul 2021,21.0,11.0,23.0,9.0,36.0,mc174,56.0
139,Aug 2021,16.0,9.0,23.0,10.0,38.0,mc174,50.0
140,Sep 2021,24.0,15.0,29.0,13.0,49.0,mc174,38.0
141,Okt 2021,24.0,15.0,31.0,17.0,58.0,mc174,30.0
142,Nov 2021,24.0,18.0,30.0,24.0,66.0,mc174,21.0
143,Dez 2021,25.0,20.0,30.0,23.0,65.0,mc174,20.0
144,Jan 2022,20.0,15.0,27.0,13.0,46.0,mc174,35.0
145,Feb 2022,15.0,10.0,24.0,9.0,38.0,mc174,48.0
146,Mär 2022,33.0,21.0,32.0,14.0,54.0,mc174,53.0
147,Apr 2022,18.0,11.0,19.0,6.0,29.0,mc174,66.0
148,Mai 2022,20.0,10.0,22.0,8.0,33.0,mc174,67.0
149,Jun 2022,19.0,10.0,21.0,7.0,31.0,mc174,72.0
150,Jul 2022,17.0,8.0,19.0,6.0,29.0,mc174,64.0
151,Aug 2022,23.0,11.0,19.0,5.0,27.0,mc174,66.0
152,Sep 2022,17.0,10.0,25.0,13.0,45.0,mc174,39.0
153,Okt 2022,24.0,14.0,31.0,24.0,68.0,mc174,20.0
154,Nov 2022,28.0,20.0,29.0,26.0,69.0,mc174,14.0
0,Jan 2010,59.0,,35.0,11.0,52.0,mc042,
1,Feb 2010,41.0,,36.0,6.0,45.0,mc042,43.0
2,Mär 2010,29.0,,34.0,6.0,43.0,mc042,47.0
3,Apr 2010,26.0,,28.0,4.0,34.0,mc042,63.0
4,Mai 2010,20.0,,23.0,3.0,27.0,mc042,50.0
5,Jun 2010,22.0,,20.0,3.0,25.0,mc042,68.0
6,Jul 2010,24.0,,19.0,3.0,23.0,mc042,82.0
7,Aug 2010,19.0,,23.0,4.0,28.0,mc042,49.0
8,Sep 2010,19.0,,27.0,8.0,39.0,mc042,33.0
9,Okt 2010,27.0,,30.0,10.0,46.0,mc042,25.0
10,Nov 2010,20.0,,28.0,10.0,43.0,mc042,23.0
11,Dez 2010,32.0,,39.0,14.0,60.0,mc042,21.0
12,Jan 2011,23.0,,36.0,11.0,53.0,mc042,24.0
13,Feb 2011,42.0,,27.0,5.0,35.0,mc042,44.0
14,Mär 2011,35.0,,40.0,10.0,55.0,mc042,43.0
15,Apr 2011,24.0,,27.0,5.0,35.0,mc042,66.0
16,Mai 2011,21.0,,24.0,3.0,29.0,mc042,73.0
17,Jun 2011,16.0,,19.0,2.0,23.0,mc042,68.0
18,Jul 2011,13.0,,19.0,3.0,23.0,mc042,55.0
19,Aug 2011,18.0,,23.0,4.0,29.0,mc042,49.0
20,Sep 2011,22.0,,32.0,15.0,55.0,mc042,34.0
21,Okt 2011,26.0,,30.0,14.0,52.0,mc042,25.0
22,Nov 2011,50.0,,34.0,17.0,60.0,mc042,13.0
23,Dez 2011,13.0,,27.0,6.0,36.0,mc042,29.0
24,Jan 2012,26.0,,28.0,8.0,40.0,mc042,30.0
25,Feb 2012,27.0,,33.0,8.0,45.0,mc042,32.0
26,Mär 2012,28.0,,30.0,8.0,42.0,mc042,45.0
27,Apr 2012,21.0,,27.0,5.0,34.0,mc042,60.0
28,Mai 2012,21.0,,19.0,3.0,23.0,mc042,72.0
29,Jun 2012,16.0,,22.0,3.0,27.0,mc042,60.0
30,Jul 2012,16.0,,21.0,3.0,27.0,mc042,57.0
31,Aug 2012,24.0,,24.0,4.0,30.0,mc042,53.0
32,Sep 2012,18.0,,29.0,7.0,39.0,mc042,39.0
33,Okt 2012,20.0,,31.0,16.0,55.0,mc042,24.0
34,Nov 2012,24.0,,34.0,16.0,59.0,mc042,13.0
35,Dez 2012,26.0,,34.0,14.0,56.0,mc042,17.0
36,Jan 2013,27.0,,28.0,7.0,38.0,mc042,30.0
37,Feb 2013,29.0,,29.0,5.0,37.0,mc042,37.0
38,Mär 2013,28.0,,30.0,6.0,40.0,mc042,62.0
39,Apr 2013,25.0,,28.0,5.0,36.0,mc042,63.0
40,Mai 2013,19.0,,22.0,3.0,27.0,mc042,58.0
41,Jun 2013,22.0,,18.0,3.0,22.0,mc042,63.0
42,Jul 2013,22.0,,20.0,3.0,24.0,mc042,64.0
43,Aug 2013,23.0,,27.0,5.0,35.0,mc042,58.0
44,Sep 2013,16.0,,26.0,8.0,38.0,mc042,33.0
45,Okt 2013,23.0,,31.0,11.0,47.0,mc042,24.0
46,Nov 2013,19.0,,33.0,12.0,50.0,mc042,20.0
47,Dez 2013,19.0,,31.0,14.0,53.0,mc042,20.0
48,Jan 2014,38.0,,29.0,8.0,42.0,mc042,21.0
49,Feb 2014,29.0,,36.0,9.0,50.0,mc042,26.0
50,Mär 2014,40.0,,34.0,10.0,50.0,mc042,39.0
51,Apr 2014,27.0,,25.0,4.0,31.0,mc042,59.0
52,Mai 2014,18.0,,21.0,3.0,26.0,mc042,62.0
53,Jun 2014,19.0,,23.0,5.0,30.0,mc042,59.0
54,Jul 2014,22.0,,20.0,2.0,24.0,mc042,67.0
55,Aug 2014,16.0,,24.0,4.0,30.0,mc042,53.0
56,Sep 2014,27.0,,26.0,7.0,37.0,mc042,43.0
57,Okt 2014,27.0,,29.0,14.0,51.0,mc042,19.0
58,Nov 2014,35.0,,26.0,14.0,48.0,mc042,12.0
59,Dez 2014,23.0,,28.0,10.0,43.0,mc042,25.0
60,Jan 2015,21.0,,28.0,7.0,38.0,mc042,31.0
61,Feb 2015,30.0,,34.0,11.0,50.0,mc042,29.0
62,Mär 2015,28.0,,29.0,6.0,38.0,mc042,44.0
63,Apr 2015,19.0,,26.0,6.0,35.0,mc042,58.0
64,Mai 2015,19.0,,25.0,3.0,30.0,mc042,61.0
65,Jun 2015,17.0,,20.0,3.0,24.0,mc042,67.0
66,Jul 2015,18.0,,20.0,3.0,25.0,mc042,68.0
67,Aug 2015,26.0,,22.0,3.0,26.0,mc042,79.0
68,Sep 2015,16.0,,26.0,5.0,33.0,mc042,41.0
69,Okt 2015,33.0,,31.0,14.0,53.0,mc042,22.0
70,Nov 2015,20.0,,32.0,22.0,65.0,mc042,22.0
71,Dez 2015,19.0,,29.0,9.0,43.0,mc042,23.0
72,Jan 2016,34.0,,33.0,12.0,52.0,mc042,19.0
73,Feb 2016,19.0,,28.0,6.0,37.0,mc042,36.0
74,Mär 2016,26.0,,31.0,8.0,44.0,mc042,40.0
75,Apr 2016,22.0,,28.0,6.0,37.0,mc042,55.0
76,Mai 2016,24.0,,22.0,2.0,26.0,mc042,76.0
77,Jun 2016,21.0,,21.0,2.0,25.0,mc042,66.0
78,Jul 2016,19.0,,19.0,3.0,23.0,mc042,59.0
79,Aug 2016,16.0,,22.0,5.0,29.0,mc042,48.0
80,Sep 2016,28.0,,29.0,6.0,37.0,mc042,56.0
81,Okt 2016,21.0,,24.0,9.0,37.0,mc042,18.0
82,Nov 2016,22.0,,34.0,17.0,60.0,mc042,16.0
83,Dez 2016,21.0,,35.0,15.0,57.0,mc042,20.0
84,Jan 2017,28.0,24.0,37.0,11.0,54.0,mc042,22.0
85,Feb 2017,39.0,32.0,33.0,9.0,47.0,mc042,34.0
86,Mär 2017,21.0,15.0,33.0,7.0,43.0,mc042,45.0
87,Apr 2017,18.0,13.0,23.0,4.0,29.0,mc042,60.0
88,Mai 2017,23.0,14.0,21.0,3.0,25.0,mc042,69.0
89,Jun 2017,18.0,10.0,20.0,3.0,24.0,mc042,60.0
90,Jul 2017,18.0,11.0,20.0,3.0,25.0,mc042,52.0
91,Aug 2017,20.0,11.0,21.0,4.0,28.0,mc042,55.0
92,Sep 2017,22.0,15.0,24.0,6.0,33.0,mc042,36.0
93,Okt 2017,20.0,14.0,26.0,9.0,39.0,mc042,29.0
94,Nov 2017,20.0,17.0,30.0,10.0,45.0,mc042,21.0
95,Dez 2017,17.0,14.0,28.0,8.0,40.0,mc042,27.0
96,Jan 2018,20.0,17.0,26.0,7.0,37.0,mc042,31.0
97,Feb 2018,29.0,23.0,31.0,7.0,42.0,mc042,37.0
98,Mär 2018,29.0,24.0,29.0,6.0,38.0,mc042,45.0
99,Apr 2018,26.0,17.0,24.0,3.0,30.0,mc042,66.0
100,Mai 2018,26.0,13.0,14.0,1.0,16.0,mc042,85.0
101,Jun 2018,21.0,11.0,16.0,2.0,19.0,mc042,74.0
102,Jul 2018,19.0,9.0,16.0,2.0,18.0,mc042,75.0
103,Aug 2018,23.0,9.0,20.0,2.0,23.0,mc042,73.0
104,Sep 2018,25.0,11.0,28.0,6.0,37.0,mc042,51.0
